,Country_Region,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,country,iso_alpha
23,Chile,1.0,-35.6751,-71.543,3404,18,335,3051,Chile,CHL
24,China,1.0,1083.3367,3684.4197000000004,82432,3322,76565,2545,China,CHN
25,Colombia,1.0,4.5709,-74.2973,1161,19,55,1087,Colombia,COL
26,Costa Rica,1.0,9.7489,-83.7534,396,2,6,388,Costa Rica,CRI
27,Cote d'Ivoire,1.0,7.54,-5.5471,194,1,15,178,Cote d'Ivoire,CIV
28,Croatia,1.0,45.1,15.2,1011,7,88,916,Croatia,HRV
29,Cuba,1.0,21.521757,-77.78116700000002,233,6,13,214,Cuba,CUB
30,Denmark,1.0,189.8634,-40.014300000000006,3573,123,1172,2278,Denmark,DNK
31,Djibouti,1.0,11.8251,42.5903,40,1,1,40,Djibouti,DJI
32,Dominican Republic,1.0,18.7357,-70.1627,1380,60,16,1304,Dominican Republic,DOM
33,Ecuador,1.0,-1.8312,-78.1834,3163,120,65,2978,Ecuador,ECU
34,Egypt,1.0,26.820553000000004,30.802498,865,58,201,606,Egypt,EGY
35,El Salvador,1.0,13.7942,-88.8965,41,2,1,39,El Salvador,SLV
36,Equatorial Guinea,1.0,1.6508,10.2679,15,1,1,14,Equatorial Guinea,GNQ
37,Eritrea,1.0,15.1794,39.7823,22,1,1,22,Eritrea,ERI
38,Ethiopia,1.0,9.145,40.4897,29,1,3,26,Ethiopia,ETH
